Location,TimeFrame,MEDICAID_CNT
Grayson,2017,3960
Grayson,2018,3720
Grayson,2019,3557
Green,2014,1522
Green,2015,1387
Green,2016,1512
Green,2017,1469
Green,2018,1423
Green,2019,1362
Greenup,2014,4668
Greenup,2015,4541
Greenup,2016,4817
Greenup,2017,4784
Greenup,2018,4407
Greenup,2019,4197
Hancock,2014,964
Hancock,2015,1077
Hancock,2016,1114
Hancock,2017,1105
Hancock,2018,1046
Hancock,2019,989
Hardin,2014,12517
Hardin,2015,12575
Hardin,2016,14092
Hardin,2017,13977
Hardin,2018,12869
Hardin,2019,12206
Harlan,2014,5725
Harlan,2015,5616
Harlan,2016,6091
Harlan,2017,5691
Harlan,2018,5018
Harlan,2019,4971
Harrison,2014,2365
Harrison,2015,2308
Harrison,2016,2437
Harrison,2017,2417
Harrison,2018,2252
Harrison,2019,2244
Hart,2014,2864
Hart,2015,2624
Hart,2016,2893
Hart,2017,2859
Hart,2018,2690
Hart,2019,2655
Henderson,2014,6209
Henderson,2015,6154
Henderson,2016,6815
Henderson,2017,6697
Henderson,2018,5937
Henderson,2019,5588
Henry,2014,2101
Henry,2015,2055
Henry,2016,2242
Henry,2017,2168
Henry,2018,1979
Henry,2019,1898
Hickman,2014,598
Hickman,2015,570
Hickman,2016,604
Hickman,2017,629
Hickman,2018,570
Hickman,2019,542
Hopkins,2014,6089
Hopkins,2015,6072
Hopkins,2016,6706
Hopkins,2017,6493
Hopkins,2018,5756
Hopkins,2019,5559
Jackson,2014,2420
Jackson,2015,2286
Jackson,2016,2495
Jackson,2017,2363
Jackson,2018,2187
Jackson,2019,2099
Jefferson,2014,91223
Jefferson,2015,91627
Jefferson,2016,99863
Jefferson,2017,98113
Jefferson,2018,86717
Jefferson,2019,83691
Jessamine,2014,6699
Jessamine,2015,6562
Jessamine,2016,7195
Jessamine,2017,7010
Jessamine,2018,6566
Jessamine,2019,6339
Johnson,2014,4021
Johnson,2015,3894
Johnson,2016,3864
Johnson,2017,3775
Johnson,2018,3337
Johnson,2019,3207
Kenton,2014,18390
Kenton,2015,17812
Kenton,2016,20411
Kenton,2017,20084
Kenton,2018,17816
Kenton,2019,16794
Knott,2014,2868
Knott,2015,2682
Knott,2016,2955
Knott,2017,2755
Knott,2018,2522
Knott,2019,2461
Knox,2014,7021
Knox,2015,6647
Knox,2016,7220
Knox,2017,7054
Knox,2018,6486
Knox,2019,6369
Larue,2014,2091
Larue,2015,1918
Larue,2016,2072
Larue,2017,1998
Larue,2018,1994
Larue,2019,1883
Laurel,2014,10131
Laurel,2015,9760
Laurel,2016,10505
Laurel,2017,10448
Laurel,2018,9619
Laurel,2019,9506
Lawrence,2014,2677
Lawrence,2015,2655
Lawrence,2016,2892
Lawrence,2017,2846
Lawrence,2018,2586
Lawrence,2019,2475
Lee,2014,1377
Lee,2015,1263
Lee,2016,1305
Lee,2017,1238
Lee,2018,*
Lee,2019,1149
Leslie,2014,2020
Leslie,2015,1967
Leslie,2016,2045
Leslie,2017,1916
Leslie,2018,1730
Leslie,2019,1671
Letcher,2014,4099
Letcher,2015,4016
Letcher,2016,4181
Letcher,2017,3964
Letcher,2018,3616
Letcher,2019,3441
Lewis,2014,2410
Lewis,2015,2240
