Location,TimeFrame,COLLEGE_GRAD_PCT
Clinton,2016-2017,0.45
Clinton,2017-2018,0.54
Crittenden,2011-2012,0.38
Crittenden,2012-2013,0.64
Crittenden,2013-2014,0.45
Crittenden,2014-2015,0.74
Crittenden,2015-2016,0.57
Crittenden,2016-2017,0.6
Crittenden,2017-2018,0.76
Cumberland,2011-2012,0.35
Cumberland,2012-2013,0.43
Cumberland,2013-2014,0.36
Cumberland,2014-2015,0.6
Cumberland,2015-2016,0.47
Cumberland,2016-2017,0.5
Cumberland,2017-2018,0.47
Daviess,2011-2012,0.58
Daviess,2012-2013,0.59
Daviess,2013-2014,0.57
Daviess,2014-2015,0.61
Daviess,2015-2016,0.63
Daviess,2016-2017,0.58
Daviess,2017-2018,0.66
Edmonson,2011-2012,0.44
Edmonson,2012-2013,0.45
Edmonson,2013-2014,0.41
Edmonson,2014-2015,0.5
Edmonson,2015-2016,0.56
Edmonson,2016-2017,0.5
Edmonson,2017-2018,0.44
Elliott,2011-2012,0.52
Elliott,2012-2013,0.52
Elliott,2013-2014,0.43
Elliott,2014-2015,0.36
Elliott,2015-2016,0.52
Elliott,2016-2017,0.27
Elliott,2017-2018,0.41
Estill,2011-2012,0.44
Estill,2012-2013,0.53
Estill,2013-2014,0.54
Estill,2014-2015,0.47
Estill,2015-2016,0.41
Estill,2016-2017,0.43
Estill,2017-2018,0.46
Fayette,2011-2012,0.52
Fayette,2012-2013,0.56
Fayette,2013-2014,0.58
Fayette,2014-2015,0.57
Fayette,2015-2016,0.58
Fayette,2016-2017,0.58
Fayette,2017-2018,0.62
Fleming,2011-2012,0.44
Fleming,2012-2013,0.51
Fleming,2013-2014,0.48
Fleming,2014-2015,0.4
Fleming,2015-2016,0.4
Fleming,2016-2017,0.53
Fleming,2017-2018,0.52
Floyd,2011-2012,0.55
Floyd,2012-2013,0.53
Floyd,2013-2014,0.5
Floyd,2014-2015,0.48
Floyd,2015-2016,0.5
Floyd,2016-2017,0.59
Floyd,2017-2018,0.47
Franklin,2011-2012,0.49
Franklin,2012-2013,0.41
Franklin,2013-2014,0.52
Franklin,2014-2015,0.42
Franklin,2015-2016,0.5
Franklin,2016-2017,0.53
Franklin,2017-2018,0.55
Fulton,2011-2012,0.13
Fulton,2012-2013,0.31
Fulton,2013-2014,0.41
Fulton,2014-2015,0.36
Fulton,2015-2016,0.3
Fulton,2016-2017,0.3
Fulton,2017-2018,0.24
Gallatin,2011-2012,0.53
Gallatin,2012-2013,0.33
Gallatin,2013-2014,0.32
Gallatin,2014-2015,0.58
Gallatin,2015-2016,0.41
Gallatin,2016-2017,0.41
Gallatin,2017-2018,0.52
Garrard,2011-2012,0.33
Garrard,2012-2013,0.58
Garrard,2013-2014,0.54
Garrard,2014-2015,0.38
Garrard,2015-2016,0.51
Garrard,2016-2017,0.45
Garrard,2017-2018,0.37
Grant,2011-2012,0.34
Grant,2012-2013,0.42
Grant,2013-2014,0.51
Grant,2014-2015,0.45
Grant,2015-2016,0.47
Grant,2016-2017,0.47
Grant,2017-2018,0.41
Graves,2011-2012,0.55
Graves,2012-2013,0.51
Graves,2013-2014,0.46
Graves,2014-2015,0.47
Graves,2015-2016,0.49
Graves,2016-2017,0.41
Graves,2017-2018,0.54
Grayson,2011-2012,0.59
Grayson,2012-2013,0.51
Grayson,2013-2014,0.59
Grayson,2014-2015,0.49
Grayson,2015-2016,0.54
Grayson,2016-2017,0.64
Grayson,2017-2018,0.63
Green,2011-2012,0.45
Green,2012-2013,0.36
Green,2013-2014,0.4
Green,2014-2015,0.3
Green,2015-2016,0.53
Green,2016-2017,0.38
Green,2017-2018,0.7
Greenup,2011-2012,0.47
Greenup,2012-2013,0.49
Greenup,2013-2014,0.5
Greenup,2014-2015,0.5
Greenup,2015-2016,0.62
Greenup,2016-2017,0.63
Greenup,2017-2018,0.5
Hancock,2011-2012,0.53
Hancock,2012-2013,0.54
Hancock,2013-2014,0.3
Hancock,2014-2015,0.61
Hancock,2015-2016,0.48
Hancock,2016-2017,0.46
Hancock,2017-2018,0.82
Hardin,2011-2012,0.52
Hardin,2012-2013,0.56
Hardin,2013-2014,0.52
Hardin,2014-2015,0.52
Hardin,2015-2016,0.5
Hardin,2016-2017,0.48
Hardin,2017-2018,0.57
Harlan,2011-2012,0.5
