Location,Age group,TimeFrame,CHILD_POP_CNT,,
Christian,0-17,2014,20581,,
Christian,0-17,2015,20014,,
Christian,0-17,2016,19823,,
Christian,0-17,2017,19007,,
Clark,0-17,2011,8222,,
Clark,0-17,2012,8238,,
Clark,0-17,2013,8144,,
Clark,0-17,2014,8148,,
Clark,0-17,2015,8078,,
Clark,0-17,2016,8011,,
Clark,0-17,2017,8163,,
Clay,0-17,2011,4740,,
Clay,0-17,2012,4740,,
Clay,0-17,2013,4509,,
Clay,0-17,2014,4472,,
Clay,0-17,2015,4462,,
Clay,0-17,2016,4453,,
Clay,0-17,2017,4381,,
Clinton,0-17,2011,2412,,
Clinton,0-17,2012,2414,,
Clinton,0-17,2013,2289,,
Clinton,0-17,2014,2319,,
Clinton,0-17,2015,2347,,
Clinton,0-17,2016,2354,,
Clinton,0-17,2017,2326,,
Crittenden,0-17,2011,2099,,
Crittenden,0-17,2012,2065,,
Crittenden,0-17,2013,2076,,
Crittenden,0-17,2014,2090,,
Crittenden,0-17,2015,2090,,
Crittenden,0-17,2016,2133,,
Crittenden,0-17,2017,2058,,
Cumberland,0-17,2011,1533,,
Cumberland,0-17,2012,1503,,
Cumberland,0-17,2013,1502,,
Cumberland,0-17,2014,1441,,
Cumberland,0-17,2015,1468,,
Cumberland,0-17,2016,1455,,
Cumberland,0-17,2017,1453,,
Daviess,0-17,2011,23629,,
Daviess,0-17,2012,23771,,
Daviess,0-17,2013,23961,,
Daviess,0-17,2014,23849,,
Daviess,0-17,2015,24141,,
Daviess,0-17,2016,24335,,
Daviess,0-17,2017,24503,,
Edmonson,0-17,2011,2632,,
Edmonson,0-17,2012,2564,,
Edmonson,0-17,2013,2420,,
Edmonson,0-17,2014,2330,,
Edmonson,0-17,2015,2276,,
Edmonson,0-17,2016,2306,,
Edmonson,0-17,2017,2293,,
Elliott,0-17,2011,1547,,
Elliott,0-17,2012,1495,,
Elliott,0-17,2013,1379,,
Elliott,0-17,2014,1446,,
Elliott,0-17,2015,1394,,
Elliott,0-17,2016,1379,,
Elliott,0-17,2017,1381,,
Estill,0-17,2011,3272,,
Estill,0-17,2012,3248,,
Estill,0-17,2013,3190,,
Estill,0-17,2014,3162,,
Estill,0-17,2015,3137,,
Estill,0-17,2016,3110,,
Estill,0-17,2017,3115,,
Fayette,0-17,2011,63371,,
Fayette,0-17,2012,64349,,
Fayette,0-17,2013,65117,,
Fayette,0-17,2014,65477,,
Fayette,0-17,2015,66246,,
Fayette,0-17,2016,67167,,
Fayette,0-17,2017,67492,,
Fleming,0-17,2011,3533,,
Fleming,0-17,2012,3558,,
Fleming,0-17,2013,3475,,
Fleming,0-17,2014,3538,,
Fleming,0-17,2015,3618,,
Fleming,0-17,2016,3573,,
Fleming,0-17,2017,3512,,
Floyd,0-17,2011,8787,,
Floyd,0-17,2012,8725,,
Floyd,0-17,2013,8453,,
Floyd,0-17,2014,8394,,
Floyd,0-17,2015,8351,,
Floyd,0-17,2016,8070,,
Floyd,0-17,2017,7974,,
Franklin,0-17,2011,10532,,
Franklin,0-17,2012,10600,,
Franklin,0-17,2013,10477,,
Franklin,0-17,2014,10437,,
Franklin,0-17,2015,10599,,
Franklin,0-17,2016,10628,,
Franklin,0-17,2017,10611,,
Fulton,0-17,2011,1395,,
Fulton,0-17,2012,1347,,
Fulton,0-17,2013,1311,,
Fulton,0-17,2014,1316,,
Fulton,0-17,2015,1333,,
Fulton,0-17,2016,1298,,
Fulton,0-17,2017,1314,,
Gallatin,0-17,2011,2318,,
Gallatin,0-17,2012,2264,,
Gallatin,0-17,2013,2198,,
Gallatin,0-17,2014,2198,,
Gallatin,0-17,2015,2140,,
Gallatin,0-17,2016,2123,,
Gallatin,0-17,2017,2165,,
Garrard,0-17,2011,3828,,
Garrard,0-17,2012,3775,,
Garrard,0-17,2013,3748,,
Garrard,0-17,2014,3724,,
Garrard,0-17,2015,3832,,
Garrard,0-17,2016,3808,,
Garrard,0-17,2017,3895,,
Grant,0-17,2011,6859,,
Grant,0-17,2012,6693,,
Grant,0-17,2013,6821,,
Grant,0-17,2014,6799,,
Grant,0-17,2015,6653,,
Grant,0-17,2016,6773,,
Grant,0-17,2017,6619,,
Graves,0-17,2011,9183,,
Graves,0-17,2012,9235,,
Graves,0-17,2013,9128,,
Graves,0-17,2014,9169,,
Graves,0-17,2015,9094,,
Graves,0-17,2016,8985,,
Graves,0-17,2017,8926,,
Grayson,0-17,2011,6130,,
Grayson,0-17,2012,6166,,
Grayson,0-17,2013,6098,,
Grayson,0-17,2014,6240,,
Grayson,0-17,2015,6255,,
Grayson,0-17,2016,6203,,
Grayson,0-17,2017,6281,,
Green,0-17,2011,2509,,
Green,0-17,2012,2490,,
Green,0-17,2013,2393,,
Green,0-17,2014,2313,,
Green,0-17,2015,2322,,
Green,0-17,2016,2348,,
Green,0-17,2017,2330,,
Greenup,0-17,2011,8142,,
Greenup,0-17,2012,8088,,
Greenup,0-17,2013,8034,,
Greenup,0-17,2014,7935,,
Greenup,0-17,2015,7867,,
Greenup,0-17,2016,7823,,
Greenup,0-17,2017,7620,,
Hancock,0-17,2011,2195,,
Hancock,0-17,2012,2178,,
Hancock,0-17,2013,2175,,
Hancock,0-17,2014,2236,,
Hancock,0-17,2015,2186,,
Hancock,0-17,2016,2253,,
Hancock,0-17,2017,2281,,
Hardin,0-17,2011,27508,,
Hardin,0-17,2012,27050,,
Hardin,0-17,2013,27503,,
