Location,Age group,TimeFrame,CHILD_POP_CNT,,
Webster,0-17,2017,2981,,
Whitley,0-17,2011,8439,,
Whitley,0-17,2012,8457,,
Whitley,0-17,2013,8604,,
Whitley,0-17,2014,8499,,
Whitley,0-17,2015,8917,,
Whitley,0-17,2016,8945,,
Whitley,0-17,2017,9084,,
Wolfe,0-17,2011,1778,,
Wolfe,0-17,2012,1734,,
Wolfe,0-17,2013,1732,,
Wolfe,0-17,2014,1708,,
Wolfe,0-17,2015,1703,,
Wolfe,0-17,2016,1669,,
Wolfe,0-17,2017,1684,,
Woodford,0-17,2011,5834,,
Woodford,0-17,2012,5810,,
Woodford,0-17,2013,5770,,
Woodford,0-17,2014,5827,,
Woodford,0-17,2015,5763,,
Woodford,0-17,2016,5845,,
Woodford,0-17,2017,5969,,
