Location,TimeFrame,CHILDCARE_PROV_CNT
Cumberland,2008,9
Cumberland,2009,9
Cumberland,2010,7
Cumberland,2012,7
Cumberland,2014,6
Cumberland,2015,6
Cumberland,2016,6
Cumberland,2017,6
Cumberland,2018,7
Daviess,2007,67
Daviess,2008,67
Daviess,2009,64
Daviess,2010,63
Daviess,2012,64
Daviess,2014,55
Daviess,2015,53
Daviess,2016,53
Daviess,2017,51
Daviess,2018,54
Edmonson,2007,4
Edmonson,2008,3
Edmonson,2009,4
Edmonson,2010,3
Edmonson,2012,3
Edmonson,2014,2
Edmonson,2015,2
Edmonson,2016,2
Edmonson,2017,3
Edmonson,2018,3
Elliott,2007,3
Elliott,2008,3
Elliott,2009,3
Elliott,2010,3
Elliott,2012,3
Elliott,2014,3
Elliott,2015,3
Elliott,2016,3
Elliott,2017,3
Elliott,2018,3
Estill,2007,7
Estill,2008,6
Estill,2009,7
Estill,2010,5
Estill,2012,3
Estill,2014,3
Estill,2015,2
Estill,2016,2
Estill,2017,2
Estill,2018,2
Fayette,2007,226
Fayette,2008,225
Fayette,2009,226
Fayette,2010,237
Fayette,2012,226
Fayette,2014,214
Fayette,2015,201
Fayette,2016,190
Fayette,2017,190
Fayette,2018,180
Fleming,2007,9
Fleming,2008,10
Fleming,2009,9
Fleming,2010,9
Fleming,2012,8
Fleming,2014,5
Fleming,2015,4
Fleming,2016,6
Fleming,2017,7
Fleming,2018,6
Floyd,2007,14
Floyd,2008,13
Floyd,2009,11
Floyd,2010,11
Floyd,2012,12
Floyd,2014,11
Floyd,2015,10
Floyd,2016,11
Floyd,2017,11
Floyd,2018,10
Franklin,2007,43
Franklin,2008,41
Franklin,2009,41
Franklin,2010,42
Franklin,2012,36
Franklin,2014,35
Franklin,2015,34
Franklin,2016,31
Franklin,2017,30
Franklin,2018,30
Fulton,2007,2
Fulton,2008,2
Fulton,2009,2
Fulton,2010,3
Fulton,2012,5
Fulton,2014,4
Fulton,2015,3
Fulton,2016,3
Fulton,2017,3
Fulton,2018,2
Gallatin,2007,4
Gallatin,2008,5
Gallatin,2009,7
Gallatin,2010,7
Gallatin,2012,6
Gallatin,2014,5
Gallatin,2015,5
Gallatin,2016,4
Gallatin,2017,4
Gallatin,2018,2
Garrard,2007,8
Garrard,2008,5
Garrard,2009,9
Garrard,2010,7
Garrard,2012,7
Garrard,2014,7
Garrard,2015,6
Garrard,2016,5
Garrard,2017,4
Garrard,2018,6
Grant,2007,24
Grant,2008,21
Grant,2009,18
Grant,2010,16
Grant,2012,16
Grant,2014,14
Grant,2015,14
Grant,2016,14
Grant,2017,12
Grant,2018,13
Graves,2007,26
Graves,2008,25
Graves,2009,22
Graves,2010,19
Graves,2012,19
Graves,2014,20
Graves,2015,20
Graves,2016,16
Graves,2017,20
Graves,2018,18
Grayson,2007,16
Grayson,2008,15
Grayson,2009,14
Grayson,2010,14
Grayson,2012,13
Grayson,2014,11
Grayson,2015,11
Grayson,2016,11
Grayson,2017,8
Grayson,2018,7
Green,2007,6
Green,2008,5
Green,2009,7
Green,2010,7
Green,2012,6
Green,2014,2
Green,2015,3
Green,2016,3
Green,2017,4
Green,2018,4
Greenup,2007,14
Greenup,2008,18
Greenup,2009,18
Greenup,2010,22
Greenup,2012,19
Greenup,2014,17
Greenup,2015,15
Greenup,2016,10
Greenup,2017,11
Greenup,2018,12
Hancock,2007,4
Hancock,2008,2
Hancock,2009,3
Hancock,2010,4
Hancock,2012,3
Hancock,2014,2
Hancock,2015,2
Hancock,2016,1
Hancock,2017,1
Hancock,2018,1
Hardin,2007,102
Hardin,2008,106
Hardin,2009,91
Hardin,2010,81
Hardin,2012,85
Hardin,2014,69
Hardin,2015,64
Hardin,2016,58
Hardin,2017,60
Hardin,2018,58
Harlan,2007,13
Harlan,2008,12
Harlan,2009,11
Harlan,2010,11
Harlan,2012,8
Harlan,2014,6
Harlan,2015,6
Harlan,2016,8
Harlan,2017,8
Harlan,2018,7
Harrison,2007,15
Harrison,2008,11
Harrison,2009,11
Harrison,2010,10
Harrison,2012,10
Harrison,2014,10
Harrison,2015,10
Harrison,2016,8
Harrison,2017,8
Harrison,2018,8
Hart,2007,5
Hart,2008,4
Hart,2009,3
Hart,2010,3
Hart,2012,2
