Location,TimeFrame,LOW_BIRTH_WEIGHT_PCT
Rowan,2008-2010,0.078
Rowan,2009-2011,0.1
Rowan,2010-2012,0.097
Rowan,2011-2013,0.11
Rowan,2012-2014,0.093
Rowan,2013-2015,0.103
Rowan,2014-2016,0.09413
Rowan,2015-2017,0.099
Rowan,2016-2018,0.082
Russell,2008-2010,0.077
Russell,2009-2011,0.084
Russell,2010-2012,0.094
Russell,2011-2013,0.101
Russell,2012-2014,0.101
Russell,2013-2015,0.096
Russell,2014-2016,0.09148
Russell,2015-2017,0.088
Russell,2016-2018,0.09
Scott,2008-2010,0.077
Scott,2009-2011,0.071
Scott,2010-2012,0.069
Scott,2011-2013,0.073
Scott,2012-2014,0.081
Scott,2013-2015,0.087
Scott,2014-2016,0.09024
Scott,2015-2017,0.085
Scott,2016-2018,0.073
Shelby,2008-2010,0.069
Shelby,2009-2011,0.067
Shelby,2010-2012,0.07
Shelby,2011-2013,0.07
Shelby,2012-2014,0.069
Shelby,2013-2015,0.066
Shelby,2014-2016,0.07483
Shelby,2015-2017,0.084
Shelby,2016-2018,0.094
Simpson,2008-2010,0.08
Simpson,2009-2011,0.105
Simpson,2010-2012,0.099
Simpson,2011-2013,0.107
Simpson,2012-2014,0.097
Simpson,2013-2015,0.1
Simpson,2014-2016,0.09749
Simpson,2015-2017,0.089
Simpson,2016-2018,0.089
Spencer,2008-2010,0.076
Spencer,2009-2011,0.084
Spencer,2010-2012,0.088
Spencer,2011-2013,0.07
Spencer,2012-2014,0.081
Spencer,2013-2015,0.09
Spencer,2014-2016,0.11754
Spencer,2015-2017,0.08
Spencer,2016-2018,0.07
Taylor,2008-2010,0.088
Taylor,2009-2011,0.091
Taylor,2010-2012,0.094
Taylor,2011-2013,0.088
Taylor,2012-2014,0.081
Taylor,2013-2015,0.076
Taylor,2014-2016,0.09462
Taylor,2015-2017,0.096
Taylor,2016-2018,0.101
Todd,2008-2010,0.071
Todd,2009-2011,0.083
Todd,2010-2012,0.091
Todd,2011-2013,0.093
Todd,2012-2014,0.082
Todd,2013-2015,0.089
Todd,2014-2016,0.08672
Todd,2015-2017,0.098
Todd,2016-2018,0.086
Trigg,2008-2010,0.092
Trigg,2009-2011,0.08
Trigg,2010-2012,0.066
Trigg,2011-2013,0.059
Trigg,2012-2014,0.061
Trigg,2013-2015,0.051
Trigg,2014-2016,0.07048
Trigg,2015-2017,0.066
Trigg,2016-2018,0.092
Trimble,2008-2010,0.09
Trimble,2009-2011,0.084
Trimble,2010-2012,0.116
Trimble,2011-2013,0.109
Trimble,2012-2014,0.095
Trimble,2013-2015,0.066
Trimble,2014-2016,0.06186
Trimble,2015-2017,0.08
Trimble,2016-2018,0.099
Union,2008-2010,0.106
Union,2009-2011,0.084
Union,2010-2012,0.104
Union,2011-2013,0.104
Union,2012-2014,0.099
Union,2013-2015,0.098
Union,2014-2016,0.10895
Union,2015-2017,0.129
Union,2016-2018,0.127
Warren,2008-2010,0.094
Warren,2009-2011,0.087
Warren,2010-2012,0.092
Warren,2011-2013,0.082
Warren,2012-2014,0.09
Warren,2013-2015,0.089
Warren,2014-2016,0.08937
Warren,2015-2017,0.086
Warren,2016-2018,0.084
Washington,2008-2010,0.07
Washington,2009-2011,0.069
Washington,2010-2012,0.078
Washington,2011-2013,0.083
Washington,2012-2014,0.092
Washington,2013-2015,0.087
Washington,2014-2016,0.08633
Washington,2015-2017,0.078
Washington,2016-2018,0.08
Wayne,2008-2010,0.078
Wayne,2009-2011,0.067
Wayne,2010-2012,0.072
Wayne,2011-2013,0.074
Wayne,2012-2014,0.074
Wayne,2013-2015,0.08
Wayne,2014-2016,0.0904
Wayne,2015-2017,0.099
Wayne,2016-2018,0.096
Webster,2008-2010,0.075
Webster,2009-2011,0.065
Webster,2010-2012,0.061
Webster,2011-2013,0.056
Webster,2012-2014,0.062
Webster,2013-2015,0.084
Webster,2014-2016,0.0994
Webster,2015-2017,0.124
Webster,2016-2018,0.12
Whitley,2008-2010,0.11
Whitley,2009-2011,0.106
Whitley,2010-2012,0.105
Whitley,2011-2013,0.103
Whitley,2012-2014,0.108
Whitley,2013-2015,0.103
Whitley,2014-2016,0.1094
Whitley,2015-2017,0.113
Whitley,2016-2018,0.12
Wolfe,2008-2010,0.125
Wolfe,2009-2011,0.152
Wolfe,2010-2012,0.133
Wolfe,2011-2013,0.119
Wolfe,2012-2014,0.104
Wolfe,2013-2015,0.111
Wolfe,2014-2016,0.12222
Wolfe,2015-2017,0.099
Wolfe,2016-2018,0.093
Woodford,2008-2010,0.086
Woodford,2009-2011,0.093
Woodford,2010-2012,0.099
Woodford,2011-2013,0.091
Woodford,2012-2014,0.079
Woodford,2013-2015,0.075
Woodford,2014-2016,0.07466
Woodford,2015-2017,0.085
Woodford,2016-2018,0.084
