Location,TimeFrame,CHILD_SUPPORT_COLLECT_PCT
Bracken,2019,0.62
Breathitt,2000,0.47
Breathitt,2001,0.47
Breathitt,2002,0.5
Breathitt,2003,0.51
Breathitt,2004,0.52
Breathitt,2005,0.52
Breathitt,2006,0.55
Breathitt,2007,0.52
Breathitt,2008,0.52
Breathitt,2009,0.55
Breathitt,2010,0.55
Breathitt,2011,0.55
Breathitt,2012,0.53
Breathitt,2013,0.51
Breathitt,2014,0.51
Breathitt,2015,0.48
Breathitt,2016,0.48
Breathitt,2017,0.49
Breathitt,2018,0.5
Breathitt,2019,0.48
Breckinridge,2000,0.63
Breckinridge,2001,0.66
Breckinridge,2002,0.64
Breckinridge,2003,0.65
Breckinridge,2004,0.65
Breckinridge,2005,0.65
Breckinridge,2006,0.66
Breckinridge,2007,0.67
Breckinridge,2008,0.67
Breckinridge,2009,0.67
Breckinridge,2010,0.66
Breckinridge,2011,0.66
Breckinridge,2012,0.67
Breckinridge,2013,0.67
Breckinridge,2014,0.67
Breckinridge,2015,0.68
Breckinridge,2016,0.67
Breckinridge,2017,0.66
Breckinridge,2018,0.65
Breckinridge,2019,0.64
Bullitt,2000,0.45
Bullitt,2001,0.5
Bullitt,2002,0.52
Bullitt,2003,0.55
Bullitt,2004,0.56
Bullitt,2005,0.58
Bullitt,2006,0.63
Bullitt,2007,0.64
Bullitt,2008,0.63
Bullitt,2009,0.63
Bullitt,2010,0.62
Bullitt,2011,0.6
Bullitt,2012,0.57
Bullitt,2013,0.56
Bullitt,2014,0.56
Bullitt,2015,0.57
Bullitt,2016,0.57
Bullitt,2017,0.56
Bullitt,2018,0.56
Bullitt,2019,0.56
Butler,2000,0.59
Butler,2001,0.62
Butler,2002,0.61
Butler,2003,0.58
Butler,2004,0.58
Butler,2005,0.58
Butler,2006,0.62
Butler,2007,0.64
Butler,2008,0.69
Butler,2009,0.68
Butler,2010,0.64
Butler,2011,0.65
Butler,2012,0.63
Butler,2013,0.63
Butler,2014,0.62
Butler,2015,0.62
Butler,2016,0.64
Butler,2017,0.62
Butler,2018,0.59
Butler,2019,0.59
Caldwell,2000,0.47
Caldwell,2001,0.51
Caldwell,2002,0.55
Caldwell,2003,0.57
Caldwell,2004,0.57
Caldwell,2005,0.58
Caldwell,2006,0.6
Caldwell,2007,0.6
Caldwell,2008,0.62
Caldwell,2009,0.58
Caldwell,2010,0.58
Caldwell,2011,0.56
Caldwell,2012,0.57
Caldwell,2013,0.6
Caldwell,2014,0.61
Caldwell,2015,0.59
Caldwell,2016,0.57
Caldwell,2017,0.59
Caldwell,2018,0.57
Caldwell,2019,0.58
Calloway,2000,0.5
Calloway,2001,0.53
Calloway,2002,0.51
Calloway,2003,0.5
Calloway,2004,0.5
Calloway,2005,0.54
Calloway,2006,0.57
Calloway,2007,0.6
Calloway,2008,0.6
Calloway,2009,0.59
Calloway,2010,0.59
Calloway,2011,0.57
Calloway,2012,0.58
Calloway,2013,0.58
Calloway,2014,0.58
Calloway,2015,0.58
Calloway,2016,0.58
Calloway,2017,0.58
Calloway,2018,0.58
Calloway,2019,0.57
Campbell,2000,0.62
Campbell,2001,0.61
Campbell,2002,0.6
Campbell,2003,0.61
Campbell,2004,0.61
Campbell,2005,0.58
Campbell,2006,0.56
Campbell,2007,0.56
Campbell,2008,0.56
Campbell,2009,0.58
Campbell,2010,0.57
Campbell,2011,0.59
Campbell,2012,0.58
Campbell,2013,0.59
Campbell,2014,0.58
Campbell,2015,0.58
Campbell,2016,0.6
Campbell,2017,0.63
Campbell,2018,0.63
Campbell,2019,0.63
Carlisle,2000,0.53
