Location,TimeFrame,SMOKING_MOM_PCT
Rowan,2015-2017,0.256
Rowan,2016-2018,0.263
Russell,2008-2010,0.377
Russell,2009-2011,0.339
Russell,2010-2012,0.336
Russell,2011-2013,0.334
Russell,2012-2014,0.322
Russell,2013-2015,0.302
Russell,2014-2016,0.276
Russell,2015-2017,0.302
Russell,2016-2018,0.289
Scott,2008-2010,0.205
Scott,2009-2011,0.17
Scott,2010-2012,0.168
Scott,2011-2013,0.166
Scott,2012-2014,0.173
Scott,2013-2015,0.168
Scott,2014-2016,0.15
Scott,2015-2017,0.151
Scott,2016-2018,0.139
Shelby,2008-2010,0.205
Shelby,2009-2011,0.142
Shelby,2010-2012,0.152
Shelby,2011-2013,0.157
Shelby,2012-2014,0.161
Shelby,2013-2015,0.156
Shelby,2014-2016,0.141
Shelby,2015-2017,0.16
Shelby,2016-2018,0.13
Simpson,2008-2010,0.237
Simpson,2009-2011,0.231
Simpson,2010-2012,0.235
Simpson,2011-2013,0.244
Simpson,2012-2014,0.254
Simpson,2013-2015,0.223
Simpson,2014-2016,0.198
Simpson,2015-2017,0.171
Simpson,2016-2018,0.163
Spencer,2008-2010,0.177
Spencer,2009-2011,0.144
Spencer,2010-2012,0.151
Spencer,2011-2013,0.151
Spencer,2012-2014,0.16
Spencer,2013-2015,0.141
Spencer,2014-2016,0.14
Spencer,2015-2017,0.161
Spencer,2016-2018,0.17
Taylor,2008-2010,0.335
Taylor,2009-2011,0.299
Taylor,2010-2012,0.299
Taylor,2011-2013,0.268
Taylor,2012-2014,0.254
Taylor,2013-2015,0.252
Taylor,2014-2016,0.243
Taylor,2015-2017,0.252
Taylor,2016-2018,0.24
Todd,2008-2010,0.218
Todd,2009-2011,0.201
Todd,2010-2012,0.195
Todd,2011-2013,0.207
Todd,2012-2014,0.206
Todd,2013-2015,0.199
Todd,2014-2016,0.19
Todd,2015-2017,0.187
Todd,2016-2018,0.142
Trigg,2008-2010,0.294
Trigg,2009-2011,0.254
Trigg,2010-2012,0.254
Trigg,2011-2013,0.252
Trigg,2012-2014,0.242
Trigg,2013-2015,0.211
Trigg,2014-2016,0.192
Trigg,2015-2017,0.182
Trigg,2016-2018,0.177
Trimble,2008-2010,0.384
Trimble,2009-2011,0.332
Trimble,2010-2012,0.29
Trimble,2011-2013,0.262
Trimble,2012-2014,0.261
Trimble,2013-2015,0.233
Trimble,2014-2016,0.224
Trimble,2015-2017,0.224
Trimble,2016-2018,0.247
Union,2008-2010,0.178
Union,2009-2011,0.188
Union,2010-2012,0.202
Union,2011-2013,0.25
Union,2012-2014,0.222
Union,2013-2015,0.212
Union,2014-2016,0.176
Union,2015-2017,0.194
Union,2016-2018,0.203
Warren,2008-2010,0.173
Warren,2009-2011,0.161
Warren,2010-2012,0.158
Warren,2011-2013,0.151
Warren,2012-2014,0.141
Warren,2013-2015,0.122
Warren,2014-2016,0.107
Warren,2015-2017,0.099
Warren,2016-2018,0.091
Washington,2008-2010,0.231
Washington,2009-2011,0.224
Washington,2010-2012,0.225
Washington,2011-2013,0.228
Washington,2012-2014,0.228
Washington,2013-2015,0.219
Washington,2014-2016,0.22
Washington,2015-2017,0.227
Washington,2016-2018,0.229
Wayne,2008-2010,0.274
Wayne,2009-2011,0.249
Wayne,2010-2012,0.265
Wayne,2011-2013,0.27
Wayne,2012-2014,0.27
Wayne,2013-2015,0.272
Wayne,2014-2016,0.281
Wayne,2015-2017,0.296
Wayne,2016-2018,0.286
Webster,2008-2010,0.233
Webster,2009-2011,0.192
Webster,2010-2012,0.198
Webster,2011-2013,0.204
Webster,2012-2014,0.194
Webster,2013-2015,0.185
Webster,2014-2016,0.176
Webster,2015-2017,0.196
Webster,2016-2018,0.182
Whitley,2008-2010,0.355
Whitley,2009-2011,0.323
Whitley,2010-2012,0.324
Whitley,2011-2013,0.327
Whitley,2012-2014,0.334
Whitley,2013-2015,0.313
Whitley,2014-2016,0.297
Whitley,2015-2017,0.275
Whitley,2016-2018,0.272
Wolfe,2008-2010,0.377
Wolfe,2009-2011,0.383
Wolfe,2010-2012,0.379
Wolfe,2011-2013,0.357
Wolfe,2012-2014,0.336
Wolfe,2013-2015,0.326
Wolfe,2014-2016,0.331
Wolfe,2015-2017,0.345
Wolfe,2016-2018,0.331
Woodford,2008-2010,0.188
Woodford,2009-2011,0.168
Woodford,2010-2012,0.161
Woodford,2011-2013,0.161
Woodford,2012-2014,0.143
Woodford,2013-2015,0.139
Woodford,2014-2016,0.127
Woodford,2015-2017,0.144
Woodford,2016-2018,0.134
