Location,TimeFrame,SINGLE_PARENT_PCT
Clinton,2013-2017,0.25
Crittenden,2007-2011,0.23
Crittenden,2008-2012,0.16
Crittenden,2009-2013,0.16
Crittenden,2010-2014,0.16
Crittenden,2011-2015,0.2
Crittenden,2012-2016,0.23
Crittenden,2013-2017,0.23
Cumberland,2007-2011,0.36
Cumberland,2008-2012,0.41
Cumberland,2009-2013,0.4
Cumberland,2010-2014,0.38
Cumberland,2011-2015,0.41
Cumberland,2012-2016,0.31
Cumberland,2013-2017,0.27
Daviess,2007-2011,0.3
Daviess,2008-2012,0.32
Daviess,2009-2013,0.32
Daviess,2010-2014,0.31
Daviess,2011-2015,0.31
Daviess,2012-2016,0.31
Daviess,2013-2017,0.32
Edmonson,2007-2011,0.26
Edmonson,2008-2012,0.22
Edmonson,2009-2013,0.18
Edmonson,2010-2014,0.15
Edmonson,2011-2015,S
Edmonson,2012-2016,S
Edmonson,2013-2017,S
Elliott,2007-2011,0.35
Elliott,2008-2012,0.39
Elliott,2009-2013,0.36
Elliott,2010-2014,0.37
Elliott,2011-2015,0.37
Elliott,2012-2016,0.39
Elliott,2013-2017,0.35
Estill,2007-2011,0.34
Estill,2008-2012,0.33
Estill,2009-2013,0.42
Estill,2010-2014,0.37
Estill,2011-2015,0.37
Estill,2012-2016,0.39
Estill,2013-2017,0.41
Fayette,2007-2011,0.33
Fayette,2008-2012,0.34
Fayette,2009-2013,0.36
Fayette,2010-2014,0.35
Fayette,2011-2015,0.35
Fayette,2012-2016,0.35
Fayette,2013-2017,0.34
Fleming,2007-2011,0.2
Fleming,2008-2012,0.21
Fleming,2009-2013,0.26
Fleming,2010-2014,0.22
Fleming,2011-2015,0.21
Fleming,2012-2016,0.21
Fleming,2013-2017,0.23
Floyd,2007-2011,0.34
Floyd,2008-2012,0.35
Floyd,2009-2013,0.35
Floyd,2010-2014,0.36
Floyd,2011-2015,0.35
Floyd,2012-2016,0.35
Floyd,2013-2017,0.34
Franklin,2007-2011,0.37
Franklin,2008-2012,0.39
Franklin,2009-2013,0.4
Franklin,2010-2014,0.36
Franklin,2011-2015,0.4
Franklin,2012-2016,0.37
Franklin,2013-2017,0.32
Fulton,2007-2011,0.37
Fulton,2008-2012,0.34
Fulton,2009-2013,0.34
Fulton,2010-2014,0.33
Fulton,2011-2015,0.35
Fulton,2012-2016,0.42
Fulton,2013-2017,0.51
Gallatin,2007-2011,0.19
Gallatin,2008-2012,0.27
Gallatin,2009-2013,0.33
Gallatin,2010-2014,0.33
Gallatin,2011-2015,0.33
Gallatin,2012-2016,0.35
Gallatin,2013-2017,0.32
Garrard,2007-2011,0.23
Garrard,2008-2012,0.2
Garrard,2009-2013,0.24
Garrard,2010-2014,0.28
Garrard,2011-2015,0.29
Garrard,2012-2016,0.31
Garrard,2013-2017,0.31
Grant,2007-2011,0.26
Grant,2008-2012,0.25
Grant,2009-2013,0.26
Grant,2010-2014,0.28
Grant,2011-2015,0.34
Grant,2012-2016,0.36
Grant,2013-2017,0.36
Graves,2007-2011,0.21
Graves,2008-2012,0.22
Graves,2009-2013,0.25
Graves,2010-2014,0.27
Graves,2011-2015,0.29
Graves,2012-2016,0.27
Graves,2013-2017,0.28
Grayson,2007-2011,0.23
Grayson,2008-2012,0.23
Grayson,2009-2013,0.22
Grayson,2010-2014,0.18
Grayson,2011-2015,0.22
Grayson,2012-2016,0.22
Grayson,2013-2017,0.21
Green,2007-2011,0.34
Green,2008-2012,0.31
Green,2009-2013,0.27
Green,2010-2014,0.22
Green,2011-2015,0.2
Green,2012-2016,0.2
Green,2013-2017,0.21
Greenup,2007-2011,0.27
Greenup,2008-2012,0.26
Greenup,2009-2013,0.29
Greenup,2010-2014,0.29
Greenup,2011-2015,0.27
Greenup,2012-2016,0.3
Greenup,2013-2017,0.31
Hancock,2007-2011,0.31
Hancock,2008-2012,0.39
Hancock,2009-2013,0.34
Hancock,2010-2014,0.39
Hancock,2011-2015,0.36
Hancock,2012-2016,0.3
Hancock,2013-2017,0.22
Hardin,2007-2011,0.34
Hardin,2008-2012,0.34
Hardin,2009-2013,0.34
Hardin,2010-2014,0.33
Hardin,2011-2015,0.33
Hardin,2012-2016,0.3
Hardin,2013-2017,0.3
Harlan,2007-2011,0.3
