Location,TimeFrame,CHILD_DEEP_POV_PCT
Owen,2011-2015,S
Owen,2012-2016,0.1
Owen,2013-2017,S
Owen,2014-2018,0.15
Owsley,2005-2009,0.26
Owsley,2006-2010,0.29
Owsley,2007-2011,S
Owsley,2008-2012,S
Owsley,2009-2013,S
Owsley,2010-2014,0.2
Owsley,2011-2015,S
Owsley,2012-2016,0.13
Owsley,2013-2017,S
Owsley,2014-2018,S
Pendleton,2005-2009,0.17
Pendleton,2006-2010,0.18
Pendleton,2007-2011,0.19
Pendleton,2008-2012,0.17
Pendleton,2009-2013,0.09
Pendleton,2010-2014,0.07
Pendleton,2011-2015,0.11
Pendleton,2012-2016,0.09
Pendleton,2013-2017,0.1
Pendleton,2014-2018,0.13
Perry,2005-2009,0.15
Perry,2006-2010,0.22
Perry,2007-2011,0.19
Perry,2008-2012,0.2
Perry,2009-2013,0.19
Perry,2010-2014,0.21
Perry,2011-2015,0.15
Perry,2012-2016,0.15
Perry,2013-2017,0.14
Perry,2014-2018,0.16
Pike,2005-2009,0.1
Pike,2006-2010,0.12
Pike,2007-2011,0.13
Pike,2008-2012,0.15
Pike,2009-2013,0.14
Pike,2010-2014,0.15
Pike,2011-2015,0.12
Pike,2012-2016,0.16
Pike,2013-2017,0.19
Pike,2014-2018,0.18
Powell,2005-2009,0.16
Powell,2006-2010,0.18
Powell,2007-2011,0.2
Powell,2008-2012,0.24
Powell,2009-2013,0.21
Powell,2010-2014,0.11
Powell,2011-2015,0.11
Powell,2012-2016,0.12
Powell,2013-2017,0.1
Powell,2014-2018,0.14
Pulaski,2005-2009,0.15
Pulaski,2006-2010,0.13
Pulaski,2007-2011,0.16
Pulaski,2008-2012,0.16
Pulaski,2009-2013,0.17
Pulaski,2010-2014,0.19
Pulaski,2011-2015,0.21
Pulaski,2012-2016,0.19
Pulaski,2013-2017,0.18
Pulaski,2014-2018,0.15
Robertson,2005-2009,S
Robertson,2006-2010,S
Robertson,2007-2011,0.31
Robertson,2008-2012,0.29
Robertson,2009-2013,0.3
Robertson,2010-2014,0.39
Robertson,2011-2015,S
Robertson,2012-2016,S
Robertson,2013-2017,0.23
Robertson,2014-2018,0.25
Rockcastle,2005-2009,0.22
Rockcastle,2006-2010,0.19
Rockcastle,2007-2011,0.21
Rockcastle,2008-2012,0.18
Rockcastle,2009-2013,0.19
Rockcastle,2010-2014,0.18
Rockcastle,2011-2015,0.17
Rockcastle,2012-2016,0.16
Rockcastle,2013-2017,0.15
Rockcastle,2014-2018,0.11
Rowan,2005-2009,0.18
Rowan,2006-2010,0.15
Rowan,2007-2011,0.15
Rowan,2008-2012,0.14
Rowan,2009-2013,0.13
Rowan,2010-2014,0.12
Rowan,2011-2015,0.13
Rowan,2012-2016,0.14
Rowan,2013-2017,0.1
Rowan,2014-2018,0.1
Russell,2005-2009,0.17
Russell,2006-2010,0.12
Russell,2007-2011,0.13
Russell,2008-2012,0.15
Russell,2009-2013,0.17
Russell,2010-2014,0.19
Russell,2011-2015,0.18
Russell,2012-2016,0.17
Russell,2013-2017,0.15
Russell,2014-2018,0.13
Scott,2005-2009,0.08
Scott,2006-2010,0.09
Scott,2007-2011,0.1
Scott,2008-2012,0.09
Scott,2009-2013,0.09
Scott,2010-2014,0.06
Scott,2011-2015,0.07
Scott,2012-2016,0.05
Scott,2013-2017,0.05
Scott,2014-2018,0.07
Shelby,2005-2009,0.06
Shelby,2006-2010,0.06
Shelby,2007-2011,0.07
Shelby,2008-2012,0.04
Shelby,2009-2013,0.06
Shelby,2010-2014,0.06
Shelby,2011-2015,0.08
Shelby,2012-2016,0.09
Shelby,2013-2017,0.1
Shelby,2014-2018,0.08
Simpson,2005-2009,S
Simpson,2006-2010,S
Simpson,2007-2011,S
Simpson,2008-2012,S
Simpson,2009-2013,0.11
Simpson,2010-2014,0.11
Simpson,2011-2015,S
Simpson,2012-2016,S
Simpson,2013-2017,S
Simpson,2014-2018,S
Spencer,2005-2009,S
Spencer,2006-2010,S
Spencer,2007-2011,S
Spencer,2008-2012,0.03
Spencer,2009-2013,S
Spencer,2010-2014,0.04
Spencer,2011-2015,S
Spencer,2012-2016,0.07
Spencer,2013-2017,S
Spencer,2014-2018,S
Taylor,2005-2009,0.17
Taylor,2006-2010,0.21
Taylor,2007-2011,0.19
Taylor,2008-2012,0.21
Taylor,2009-2013,0.17
Taylor,2010-2014,0.14
Taylor,2011-2015,0.14
Taylor,2012-2016,0.17
Taylor,2013-2017,0.15
Taylor,2014-2018,0.15
Todd,2005-2009,0.08
Todd,2006-2010,0.1
Todd,2007-2011,S
Todd,2008-2012,0.07
Todd,2009-2013,0.07
Todd,2010-2014,0.06
Todd,2011-2015,0.05
Todd,2012-2016,0.05
Todd,2013-2017,0.08
Todd,2014-2018,0.06
Trigg,2005-2009,0.13
Trigg,2006-2010,0.09
Trigg,2007-2011,0.11
Trigg,2008-2012,0.06
Trigg,2009-2013,0.04
Trigg,2010-2014,S
Trigg,2011-2015,S
Trigg,2012-2016,S
Trigg,2013-2017,S
Trigg,2014-2018,S
Trimble,2005-2009,0.11
Trimble,2006-2010,0.11
Trimble,2007-2011,0.08
Trimble,2008-2012,0.08
Trimble,2009-2013,0.11
Trimble,2010-2014,S
Trimble,2011-2015,S
Trimble,2012-2016,S
Trimble,2013-2017,S
Trimble,2014-2018,S
Union,2005-2009,0.13
Union,2006-2010,0.11
Union,2007-2011,0.14
Union,2008-2012,0.11
Union,2009-2013,0.13
Union,2010-2014,0.15
Union,2011-2015,0.13
Union,2012-2016,0.09
Union,2013-2017,0.12
Union,2014-2018,0.1
Warren,2005-2009,0.09
Warren,2006-2010,0.1
Warren,2007-2011,0.1
Warren,2008-2012,0.11
Warren,2009-2013,0.1
Warren,2010-2014,0.11
Warren,2011-2015,0.1
Warren,2012-2016,0.1
Warren,2013-2017,0.08
Warren,2014-2018,0.06
Washington,2005-2009,0.11
Washington,2006-2010,S
Washington,2007-2011,0.07
Washington,2008-2012,0.06
Washington,2009-2013,0.08
Washington,2010-2014,0.09
Washington,2011-2015,0.09
Washington,2012-2016,0.05
Washington,2013-2017,S
Washington,2014-2018,S
Wayne,2005-2009,0.12
Wayne,2006-2010,0.15
Wayne,2007-2011,0.22
Wayne,2008-2012,0.21
Wayne,2009-2013,0.2
Wayne,2010-2014,0.19
Wayne,2011-2015,0.24
Wayne,2012-2016,0.17
Wayne,2013-2017,0.13
Wayne,2014-2018,0.17
Webster,2005-2009,0.1
Webster,2006-2010,0.1
Webster,2007-2011,0.08
Webster,2008-2012,0.09
Webster,2009-2013,0.07
Webster,2010-2014,0.07
Webster,2011-2015,0.08
Webster,2012-2016,0.08
Webster,2013-2017,0.09
Webster,2014-2018,0.08
Whitley,2005-2009,0.17
Whitley,2006-2010,0.17
Whitley,2007-2011,0.15
Whitley,2008-2012,0.14
Whitley,2009-2013,0.12
Whitley,2010-2014,0.13
Whitley,2011-2015,0.19
Whitley,2012-2016,0.2
Whitley,2013-2017,0.19
Whitley,2014-2018,0.21
Wolfe,2005-2009,0.45
Wolfe,2006-2010,0.44
Wolfe,2007-2011,0.47
Wolfe,2008-2012,0.46
Wolfe,2009-2013,0.36
Wolfe,2010-2014,0.41
Wolfe,2011-2015,0.38
Wolfe,2012-2016,0.35
Wolfe,2013-2017,0.23
Wolfe,2014-2018,0.27
Woodford,2005-2009,0.09
Woodford,2006-2010,0.11
Woodford,2007-2011,0.11
Woodford,2008-2012,0.11
Woodford,2009-2013,0.12
Woodford,2010-2014,0.07
Woodford,2011-2015,0.08
Woodford,2012-2016,0.12
Woodford,2013-2017,0.12
Woodford,2014-2018,0.11
