Location,TimeFrame,CHILD_DEEP_POV_PCT
Campbell,2011-2015,0.11
Campbell,2012-2016,0.11
Campbell,2013-2017,0.1
Campbell,2014-2018,0.09
Carlisle,2005-2009,S
Carlisle,2006-2010,S
Carlisle,2007-2011,S
Carlisle,2008-2012,S
Carlisle,2009-2013,S
Carlisle,2010-2014,0.08
Carlisle,2011-2015,S
Carlisle,2012-2016,S
Carlisle,2013-2017,S
Carlisle,2014-2018,S
Carroll,2005-2009,0.12
Carroll,2006-2010,0.21
Carroll,2007-2011,0.19
Carroll,2008-2012,0.26
Carroll,2009-2013,0.3
Carroll,2010-2014,0.27
Carroll,2011-2015,0.25
Carroll,2012-2016,0.3
Carroll,2013-2017,0.29
Carroll,2014-2018,0.26
Carter,2005-2009,0.07
Carter,2006-2010,0.1
Carter,2007-2011,0.11
Carter,2008-2012,0.14
Carter,2009-2013,0.14
Carter,2010-2014,0.16
Carter,2011-2015,0.14
Carter,2012-2016,0.12
Carter,2013-2017,0.14
Carter,2014-2018,0.19
Casey,2005-2009,0.24
Casey,2006-2010,0.22
Casey,2007-2011,0.23
Casey,2008-2012,0.25
Casey,2009-2013,0.18
Casey,2010-2014,0.17
Casey,2011-2015,0.16
Casey,2012-2016,0.14
Casey,2013-2017,0.13
Casey,2014-2018,0.15
Christian,2005-2009,0.17
Christian,2006-2010,0.17
Christian,2007-2011,0.15
Christian,2008-2012,0.14
Christian,2009-2013,0.12
Christian,2010-2014,0.12
Christian,2011-2015,0.11
Christian,2012-2016,0.12
Christian,2013-2017,0.14
Christian,2014-2018,0.13
Clark,2005-2009,0.12
Clark,2006-2010,0.12
Clark,2007-2011,0.13
Clark,2008-2012,0.1
Clark,2009-2013,0.1
Clark,2010-2014,0.1
Clark,2011-2015,0.08
Clark,2012-2016,0.08
Clark,2013-2017,0.07
Clark,2014-2018,0.09
Clay,2005-2009,0.19
Clay,2006-2010,0.21
Clay,2007-2011,0.23
Clay,2008-2012,0.25
Clay,2009-2013,0.24
Clay,2010-2014,0.22
Clay,2011-2015,0.18
Clay,2012-2016,0.21
Clay,2013-2017,0.23
Clay,2014-2018,0.22
Clinton,2005-2009,0.24
Clinton,2006-2010,0.22
Clinton,2007-2011,0.17
Clinton,2008-2012,0.17
Clinton,2009-2013,S
Clinton,2010-2014,S
Clinton,2011-2015,0.08
Clinton,2012-2016,S
Clinton,2013-2017,0.08
Clinton,2014-2018,0.16
Crittenden,2005-2009,S
Crittenden,2006-2010,S
Crittenden,2007-2011,S
Crittenden,2008-2012,0.1
Crittenden,2009-2013,0.07
Crittenden,2010-2014,0.11
Crittenden,2011-2015,0.1
Crittenden,2012-2016,0.12
Crittenden,2013-2017,0.08
Crittenden,2014-2018,0.08
Cumberland,2005-2009,S
Cumberland,2006-2010,0.15
Cumberland,2007-2011,0.19
Cumberland,2008-2012,0.24
Cumberland,2009-2013,0.23
Cumberland,2010-2014,0.22
Cumberland,2011-2015,0.17
Cumberland,2012-2016,S
Cumberland,2013-2017,S
Cumberland,2014-2018,0.13
Daviess,2005-2009,0.1
Daviess,2006-2010,0.1
Daviess,2007-2011,0.09
Daviess,2008-2012,0.1
Daviess,2009-2013,0.11
Daviess,2010-2014,0.12
Daviess,2011-2015,0.13
Daviess,2012-2016,0.13
Daviess,2013-2017,0.12
Daviess,2014-2018,0.11
Edmonson,2005-2009,S
Edmonson,2006-2010,S
Edmonson,2007-2011,S
Edmonson,2008-2012,0.08
Edmonson,2009-2013,S
Edmonson,2010-2014,S
Edmonson,2011-2015,0.06
Edmonson,2012-2016,S
Edmonson,2013-2017,S
Edmonson,2014-2018,S
Elliott,2005-2009,0.24
Elliott,2006-2010,0.25
Elliott,2007-2011,0.22
Elliott,2008-2012,0.23
Elliott,2009-2013,0.21
Elliott,2010-2014,0.27
Elliott,2011-2015,0.26
Elliott,2012-2016,0.3
Elliott,2013-2017,0.24
Elliott,2014-2018,0.21
Estill,2005-2009,0.22
Estill,2006-2010,0.25
Estill,2007-2011,0.27
Estill,2008-2012,0.24
Estill,2009-2013,0.26
Estill,2010-2014,0.19
Estill,2011-2015,0.16
Estill,2012-2016,0.21
Estill,2013-2017,0.18
Estill,2014-2018,0.18
Fayette,2005-2009,0.08
Fayette,2006-2010,0.09
Fayette,2007-2011,0.1
Fayette,2008-2012,0.1
Fayette,2009-2013,0.09
Fayette,2010-2014,0.1
Fayette,2011-2015,0.1
Fayette,2012-2016,0.1
Fayette,2013-2017,0.1
Fayette,2014-2018,0.1
Fleming,2005-2009,S
Fleming,2006-2010,0.1
