Location,TimeFrame,FOSTER_KIDS_PCT
Caldwell,2014,S
Caldwell,2015,S
Caldwell,2016,S
Caldwell,2017,0.57
Caldwell,2018,0.31
Calloway,2003,0.61
Calloway,2006,0.56
Calloway,2007,0.53
Calloway,2008,0.68
Calloway,2009,0.66
Calloway,2010,0.64
Calloway,2011,0.53
Calloway,2012,0.55
Calloway,2013,0.58
Calloway,2014,0.71
Calloway,2015,0.68
Calloway,2016,0.73
Calloway,2017,0.77
Calloway,2018,0.6
Campbell,2003,0.85
Campbell,2006,0.8
Campbell,2007,0.76
Campbell,2008,0.85
Campbell,2009,0.86
Campbell,2010,0.88
Campbell,2011,0.87
Campbell,2012,0.84
Campbell,2013,0.81
Campbell,2014,0.83
Campbell,2015,0.83
Campbell,2016,0.82
Campbell,2017,0.76
Campbell,2018,0.41
Carlisle,2003,1
Carlisle,2006,0.33
Carlisle,2007,0
Carlisle,2008,0.71
Carlisle,2009,0.27
Carlisle,2010,0.85
Carlisle,2011,0
Carlisle,2012,**
Carlisle,2013,**
Carlisle,2014,S
Carlisle,2015,S
Carlisle,2016,0.86
Carlisle,2017,0.61
Carlisle,2018,0.3
Carroll,2003,0.5
Carroll,2006,0.68
Carroll,2007,0.61
Carroll,2008,0.63
Carroll,2009,0.91
Carroll,2010,0.92
Carroll,2011,0.52
Carroll,2012,0.71
Carroll,2013,0.73
Carroll,2014,0.75
Carroll,2015,0.78
Carroll,2016,0.62
Carroll,2017,0.75
Carroll,2018,0.48
Carter,2003,0.75
Carter,2006,0.42
Carter,2007,0.76
Carter,2008,0.85
Carter,2009,0.91
Carter,2010,0.88
Carter,2011,0.86
Carter,2012,0.73
Carter,2013,0.74
Carter,2014,0.75
Carter,2015,0.86
Carter,2016,0.81
Carter,2017,0.76
Carter,2018,0.72
Casey,2003,0.44
Casey,2006,0.58
Casey,2007,0.8
Casey,2008,0.56
Casey,2009,0.62
Casey,2010,0.93
Casey,2011,0.78
Casey,2012,0.86
Casey,2013,0.69
Casey,2014,0.76
Casey,2015,0.75
Casey,2016,0.76
Casey,2017,0.71
Casey,2018,0.59
Christian,2003,0.7
Christian,2006,0.65
Christian,2007,0.49
Christian,2008,0.65
Christian,2009,0.64
Christian,2010,0.67
Christian,2011,0.73
Christian,2012,0.66
Christian,2013,0.64
Christian,2014,0.63
Christian,2015,0.67
Christian,2016,0.59
Christian,2017,0.57
Christian,2018,0.49
Clark,2003,0.66
Clark,2006,0.78
Clark,2007,0.73
Clark,2008,0.76
Clark,2009,0.72
Clark,2010,0.82
Clark,2011,0.88
Clark,2012,0.89
Clark,2013,0.87
Clark,2014,0.73
Clark,2015,0.74
Clark,2016,0.82
Clark,2017,0.73
Clark,2018,0.6
Clay,2003,0.6
Clay,2006,0.73
Clay,2007,0.65
Clay,2008,0.74
Clay,2009,0.79
Clay,2010,0.83
Clay,2011,0.88
Clay,2012,0.83
Clay,2013,0.91
Clay,2014,0.82
Clay,2015,0.79
Clay,2016,0.8
Clay,2017,0.77
Clay,2018,0.68
Clinton,2003,0.82
Clinton,2006,0.9
Clinton,2007,0.7
Clinton,2008,0.9
Clinton,2009,0.89
Clinton,2010,0.88
Clinton,2011,0.84
Clinton,2012,0.74
Clinton,2013,0.83
Clinton,2014,0.77
Clinton,2015,0.73
Clinton,2016,0.74
Clinton,2017,0.61
Clinton,2018,0.38
Crittenden,2003,0.56
Crittenden,2006,0.67
Crittenden,2007,0.79
Crittenden,2008,0.42
Crittenden,2009,0.53
Crittenden,2010,0.7
Crittenden,2011,0.56
Crittenden,2012,0.67
Crittenden,2013,0.39
Crittenden,2014,0.45
Crittenden,2015,0.52
Crittenden,2016,0.63
Crittenden,2017,0.59
Crittenden,2018,0.29
Cumberland,2003,1
Cumberland,2006,1
Cumberland,2007,0.83
Cumberland,2008,**
Cumberland,2009,0
Cumberland,2010,0.4
Cumberland,2011,0.6
Cumberland,2012,0.67
Cumberland,2013,1
Cumberland,2014,S
Cumberland,2015,S
Cumberland,2016,0.6
Cumberland,2017,0.75
Cumberland,2018,0.63
Daviess,2003,0.71
Daviess,2006,0.77
Daviess,2007,0.76
Daviess,2008,0.77
Daviess,2009,0.85
Daviess,2010,0.89
Daviess,2011,0.8
Daviess,2012,0.78
Daviess,2013,0.78
Daviess,2014,0.76
Daviess,2015,0.75
Daviess,2016,0.7
Daviess,2017,0.7
Daviess,2018,0.56
Edmonson,2003,0.86
Edmonson,2006,0.59
Edmonson,2007,0.5
Edmonson,2008,0.82
Edmonson,2009,0.73
Edmonson,2010,0.76
Edmonson,2011,0.87
Edmonson,2012,0.82
Edmonson,2013,0.68
Edmonson,2014,0.68
Edmonson,2015,0.54
Edmonson,2016,0.59
Edmonson,2017,0.55
Edmonson,2018,0.59
Elliott,2003,0.86
Elliott,2006,0.76
Elliott,2007,0.63
Elliott,2008,0.75
Elliott,2009,0.9
Elliott,2010,0.86
Elliott,2011,0.95
Elliott,2012,0.84
Elliott,2013,0.81
Elliott,2014,0.9
Elliott,2015,0.95
Elliott,2016,0.95
Elliott,2017,0.98
Elliott,2018,0.83
Estill,2003,0.6
Estill,2006,0.66
Estill,2007,0.48
Estill,2008,0.56
Estill,2009,0.64
Estill,2010,0.8
Estill,2011,0.86
Estill,2012,0.96
Estill,2013,0.83
Estill,2014,0.91
Estill,2015,0.93
Estill,2016,0.87
Estill,2017,0.75
Estill,2018,0.5
Fayette,2003,0.62
Fayette,2006,0.7
Fayette,2007,0.72
Fayette,2008,0.72
Fayette,2009,0.76
Fayette,2010,0.8
Fayette,2011,0.77
Fayette,2012,0.76
Fayette,2013,0.76
Fayette,2014,0.75
Fayette,2015,0.77
Fayette,2016,0.77
Fayette,2017,0.71
Fayette,2018,0.66
Fleming,2003,0.85
Fleming,2006,0.74
Fleming,2007,0.82
Fleming,2008,0.87
Fleming,2009,0.86
Fleming,2010,0.93
Fleming,2011,0.93
Fleming,2012,0.9
Fleming,2013,0.99
Fleming,2014,0.91
Fleming,2015,0.9
Fleming,2016,0.82
Fleming,2017,0.77
Fleming,2018,0.5
Floyd,2003,0.76
Floyd,2006,0.86
Floyd,2007,0.8
Floyd,2008,0.81
Floyd,2009,0.87
Floyd,2010,0.77
Floyd,2011,0.88
Floyd,2012,0.91
Floyd,2013,0.78
Floyd,2014,0.84
Floyd,2015,0.85
Floyd,2016,0.79
Floyd,2017,0.7
Floyd,2018,0.78
Franklin,2003,0.51
Franklin,2006,0.45
Franklin,2007,0.49
Franklin,2008,0.66
Franklin,2009,0.58
Franklin,2010,0.59
Franklin,2011,0.52
Franklin,2012,0.49
Franklin,2013,0.59
Franklin,2014,0.58
Franklin,2015,0.58
Franklin,2016,0.54
Franklin,2017,0.54
Franklin,2018,0.56
Fulton,2003,0.64
Fulton,2006,0.64
Fulton,2007,0.57
Fulton,2008,0.64
Fulton,2009,0.75
Fulton,2010,0.71
Fulton,2011,0.55
Fulton,2012,0.53
Fulton,2013,0.53
Fulton,2014,S
Fulton,2015,S
Fulton,2016,0.83
Fulton,2017,0.24
Fulton,2018,0.58
Gallatin,2003,0.43
Gallatin,2006,0.48
Gallatin,2007,0.63
Gallatin,2008,0.81
Gallatin,2009,0.25
Gallatin,2010,0.95
Gallatin,2011,1
Gallatin,2012,0.77
Gallatin,2013,0.88
Gallatin,2014,S
Gallatin,2015,0.67
Gallatin,2016,0.88
Gallatin,2017,0.65
Gallatin,2018,0.32
Garrard,2003,0.44
Garrard,2006,0.59
Garrard,2007,0.49
Garrard,2008,0.7
Garrard,2009,0.71
Garrard,2010,0.72
Garrard,2011,0.57
Garrard,2012,0.81
Garrard,2013,0.68
Garrard,2014,0.83
Garrard,2015,0.9
Garrard,2016,0.85
Garrard,2017,0.8
Garrard,2018,0.67
Grant,2003,0.56
Grant,2006,0.72
Grant,2007,0.63
Grant,2008,0.53
Grant,2009,0.56
Grant,2010,0.65
Grant,2011,0.73
Grant,2012,0.63
Grant,2013,0.67
Grant,2014,0.62
Grant,2015,0.6
Grant,2016,0.59
Grant,2017,0.6
Grant,2018,0.57
Graves,2003,0.74
Graves,2006,0.62
Graves,2007,0.68
Graves,2008,0.74
Graves,2009,0.79
Graves,2010,0.87
Graves,2011,0.89
Graves,2012,0.81
Graves,2013,0.76
Graves,2014,0.83
Graves,2015,0.8
Graves,2016,0.73
Graves,2017,0.63
Graves,2018,0.52
Grayson,2003,0.52
Grayson,2006,0.68
Grayson,2007,0.65
Grayson,2008,0.5
Grayson,2009,0.56
Grayson,2010,0.68
Grayson,2011,0.76
Grayson,2012,0.64
Grayson,2013,0.59
Grayson,2014,0.65
Grayson,2015,0.61
Grayson,2016,0.57
Grayson,2017,0.58
Grayson,2018,0.51
Green,2003,0.95
Green,2006,0.95
Green,2007,0.89
Green,2008,0.53
Green,2009,0.78
Green,2010,0.87
Green,2011,0.69
Green,2012,0.76
Green,2013,0.74
Green,2014,0.93
Green,2015,0.73
Green,2016,0.88
Green,2017,0.68
Green,2018,0.79
Greenup,2003,0.55
Greenup,2006,0.55
Greenup,2007,0.6
Greenup,2008,0.41
Greenup,2009,0.49
Greenup,2010,0.8
Greenup,2011,0.66
Greenup,2012,0.66
Greenup,2013,0.74
Greenup,2014,0.64
Greenup,2015,0.63
Greenup,2016,0.77
Greenup,2017,0.7
Greenup,2018,0.7
Hancock,2003,0.63
Hancock,2006,0.45
Hancock,2007,0.6
Hancock,2008,0.25
Hancock,2009,0.75
Hancock,2010,0.75
Hancock,2011,0.62
Hancock,2012,0.4
Hancock,2013,0.38
Hancock,2014,S
Hancock,2015,0.4
Hancock,2016,0.64
Hancock,2017,0.38
Hancock,2018,0.88
Hardin,2003,0.71
Hardin,2006,0.74
Hardin,2007,0.64
Hardin,2008,0.69
Hardin,2009,0.76
Hardin,2010,0.79
Hardin,2011,0.75
Hardin,2012,0.74
Hardin,2013,0.77
Hardin,2014,0.76
Hardin,2015,0.74
Hardin,2016,0.72
Hardin,2017,0.65
Hardin,2018,0.63
Harlan,2003,0.51
Harlan,2006,0.41
Harlan,2007,0.42
Harlan,2008,0.58
Harlan,2009,0.62
Harlan,2010,0.58
Harlan,2011,0.68
Harlan,2012,0.33
Harlan,2013,0.48
Harlan,2014,0.86
Harlan,2015,0.74
Harlan,2016,0.69
Harlan,2017,0.89
Harlan,2018,0.74
Harrison,2003,0.58
Harrison,2006,0.28
Harrison,2007,0.27
Harrison,2008,0.67
Harrison,2009,0.58
Harrison,2010,0.58
Harrison,2011,0.54
Harrison,2012,0.63
Harrison,2013,0.75
Harrison,2014,0.79
Harrison,2015,0.68
Harrison,2016,0.69
Harrison,2017,0.77
Harrison,2018,0.66
Hart,2003,0.93
Hart,2006,0.92
Hart,2007,0.83
Hart,2008,0.78
Hart,2009,0.84
Hart,2010,0.86
Hart,2011,0.7
Hart,2012,0.78
Hart,2013,0.76
Hart,2014,0.75
Hart,2015,0.67
Hart,2016,0.64
Hart,2017,0.64
Hart,2018,0.61
Henderson,2003,0.63
Henderson,2006,0.7
Henderson,2007,0.69
Henderson,2008,0.73
Henderson,2009,0.76
Henderson,2010,0.83
Henderson,2011,0.73
Henderson,2012,0.85
Henderson,2013,0.86
