SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,SPENDING_PER_STDNT,AVG_DAILY_ATTENDANCE,MEMBERSHIP_TOTAL,MEMBERSHIP_MALE_CNT,MEMBERSHIP_MALE_PCT,MEMBERSHIP_FEMALE_CNT,MEMBERSHIP_FEMALE_PCT,MEMBERSHIP_WHITE_CNT,MEMBERSHIP_WHITE_PCT,MEMBERSHIP_BLACK_CNT,MEMBERSHIP_BLACK_PCT,MEMBERSHIP_HISPANIC_CNT,MEMBERSHIP_HISPANIC_PCT,MEMBERSHIP_ASIAN_CNT,MEMBERSHIP_ASIAN_PCT,MEMBERSHIP_AIAN_CNT,MEMBERSHIP_AIAN_PCT,MEMBERSHIP_HAWAIIAN_CNT,MEMBERSHIP_HAWAIIAN_PCT,MEMBERSHIP_TWO_OR_MORE_CNT,MEMBERSHIP_TWO_OR_MORE_PCT,ENROLLMENT_FREE_LUNCH_CNT,ENROLLMENT_FREE_LUNCH_PCT,ENROLLMENT_REDUCED_LUNCH_CNT,ENROLLMENT_REDUCED_LUNCH_PCT,ATTENDANCE_RATE,RETENTION_RATE,DROPOUT_RATE,GRADUATION_RATE,TRANSITION_COLLEGE_INOUT_CNT,TRANSITION_COLLEGE_INOUT_PCT,TRANSITION_COLLEGE_IN_CNT,TRANSITION_COLLEGE_IN_PCT,TRANSITION_COLLEGE_OUT_CNT,TRANSITION_COLLEGE_OUT_PCT,TRANSITION_PARTTIME_CNT,TRANSITION_PARTTIME_PCT,TRANSITION_WORKFORCE_CNT,TRANSITION_WORKFORCE_PCT,TRANSITION_VOCATIONAL_CNT,TRANSITION_VOCATIONAL_PCT,TRANSITION_FAILURE_CNT,TRANSITION_FAILURE_PCT,TRANSITION_MILITARY_CNT,TRANSITION_MILITARY_PCT,STDNT_TCH_RATIO,FTE_TCH_TOTAL,MALE_FTE_TOTAL,FEMALE_FTE_TOTAL,WHITE_FTE_TOTAL,BLACK_FTE_TOTAL,HISPANIC_FTE_TOTAL,ASIAN_FTE_TOTAL,AIAN_FTE_TOTAL,HAWAIIAN_FTE_TOTAL,TWO_OR_MORE_FTE_TOTAL,RACE_FTE_TOTAL,NATIONAL_BOARD_CERT_TCH_CNT,PCT_CLS_NOT_HQ_TCH,AVG_YRS_TCH_EXP,PROF_QUAL_BA_PCT,PROF_QUAL_MA_PCT,PROF_QUAL_RANK1_PCT,PROF_QUAL_SPECIALIST_PCT,PROF_QUAL_DOCTORATE_PCT,PROF_QUAL_TCH_PCT,TCH_PROV_CERT_PCT,STDNT_COMP_RATIO,COMPUTER_5YR_OLD_PCT,PT_CONFERENCE,SBDM_VOTE,PARENTS_ON_COUNCIL,VOLUNTEER_HRS,COOP,COOP_CODE
20142015,056,JEFFERSON,275,Jefferson County,680,Carter Elementary,275680,056275680,210299000784,"$11,980",574.8,587,303,51.6%,284,48.4%,354,60.3%,193,32.9%,22,3.7%,4,0.7%,0,0.0%,0,0.0%,14,2.4%,218,37.1%,50,8.5%,97.2%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,35.00,6.00,29.00,29.00,6.00,0.00,0.00,0.00,0.00,0.00,35.00,5,0.0%,11.2,20.5%,30.8%,28.2%,0.0%,0.0%,80.0%,0.0%,7.7:1,100%,500,150,2,300,JEFF CO,909
20142015,056,JEFFERSON,275,Jefferson County,179,Central High School,275179,056275179,210299000730,"$10,138","1,033.89","1,073",388,36.2%,685,63.8%,89,8.3%,875,81.5%,63,5.9%,35,3.3%,0,0.0%,0,0.0%,11,1.0%,839,78.2%,76,7.1%,94.5%,1.1%,0.9%,N/A,234,88.0%,215,80.8%,19,7.1%,4,1.5%,6,2.3%,1,0.4%,15,5.6%,6,2.3%,15:1,74.00,35.00,39.00,56.00,15.00,2.00,1.00,0.00,0.00,0.00,74.00,8,0.0%,14.9,5.0%,41.3%,45.0%,1.3%,2.5%,95.0%,1.3%,1.4:1,100%,352,2,2,720,JEFF CO,909
20142015,056,JEFFERSON,275,Jefferson County,102,Chancey Elementary School,275102,056275102,210299001959,"$8,430",644.19,664,340,51.2%,324,48.8%,303,45.6%,187,28.2%,71,10.7%,36,5.4%,1,0.2%,0,0.0%,66,9.9%,318,47.9%,32,4.8%,96.3%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,45.00,2.00,43.00,38.00,6.00,1.00,0.00,0.00,0.00,0.00,45.00,5,0.0%,13.9,5.4%,45.9%,43.2%,0.0%,0.0%,95.0%,0.0%,4.2:1,100%,550,45,2,"3,300",JEFF CO,909
20142015,056,JEFFERSON,275,Jefferson County,046,Chenoweth Elementary School,275046,056275046,210299000645,"$8,818",495.96,516,270,52.3%,246,47.7%,319,61.8%,141,27.3%,13,2.5%,13,2.5%,0,0.0%,0,0.0%,30,5.8%,262,50.8%,25,4.8%,95.8%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,34.00,6.00,28.00,33.00,0.00,1.00,0.00,0.00,0.00,0.00,34.00,5,0.8%,12.9,3.7%,66.7%,22.2%,3.7%,0.0%,96.0%,0.0%,6.6:1,100%,452,32,6,"1,050",JEFF CO,909
20142015,056,JEFFERSON,275,Jefferson County,917,Churchill Park Rehab,275917,056275917,210299000789,"$66,408",74.35,92,55,59.8%,37,40.2%,54,58.7%,24,26.1%,3,3.3%,9,9.8%,0,0.0%,0,0.0%,2,2.2%,,0.0%,,0.0%,86.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3:1,28.00,3.00,25.00,27.00,0.00,0.00,1.00,0.00,0.00,0.00,28.00,3,0.0%,6.7,33.3%,26.7%,6.7%,0.0%,0.0%,67.0%,0.0%,.3:1,100%,92,,,98,JEFF CO,909
20142015,056,JEFFERSON,275,Jefferson County,323,Cochran Elementary,275323,056275323,210299000751,"$14,846",277.69,291,156,53.6%,135,46.4%,88,30.2%,176,60.5%,9,3.1%,5,1.7%,0,0.0%,1,0.3%,12,4.1%,256,88.0%,12,4.1%,94.1%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10:1,28.00,2.00,26.00,22.00,6.00,0.00,0.00,0.00,0.00,0.00,28.00,2,0.0%,7.2,30.8%,25.6%,7.7%,5.1%,0.0%,69.0%,0.0%,3.4:1,100%,204,87,6,139,JEFF CO,909
20142015,056,JEFFERSON,275,Jefferson County,083,Cochrane Elementary,275083,056275083,210299000676,"$10,596",353.43,370,190,51.4%,180,48.6%,167,45.1%,97,26.2%,70,18.9%,19,5.1%,0,0.0%,0,0.0%,17,4.6%,273,73.8%,12,3.2%,95.2%,1.7%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:1,28.00,6.00,22.00,26.00,2.00,0.00,0.00,0.00,0.00,0.00,28.00,2,0.0%,11.4,15.4%,57.7%,11.5%,0.0%,0.0%,85.0%,0.0%,2.3:1,100%,287,45,3,"1,038",JEFF CO,909
20142015,056,JEFFERSON,275,Jefferson County,660,Coleridge-Taylor Elementary,275660,056275660,210299000783,"$10,341",556.37,582,271,46.6%,311,53.4%,131,22.5%,409,70.3%,16,2.7%,5,0.9%,0,0.0%,2,0.3%,19,3.3%,413,71.0%,19,3.3%,95.3%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15:1,40.00,5.00,35.00,33.00,7.00,0.00,0.00,0.00,0.00,0.00,40.00,1,0.0%,11.1,12.5%,40.0%,35.0%,0.0%,0.0%,88.0%,0.0%,5.4:1,100%,470,78,3,882,JEFF CO,909
20142015,056,JEFFERSON,275,Jefferson County,164,Conway Middle School,275164,056275164,210299000726,"$8,311",837.22,894,464,51.9%,430,48.1%,516,57.7%,318,35.6%,28,3.1%,3,0.3%,2,0.2%,0,0.0%,27,3.0%,642,71.8%,75,8.4%,93.1%,0.6%,0.2%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17:1,54.00,27.00,27.00,46.00,7.00,1.00,0.00,0.00,0.00,0.00,54.00,2,0.0%,9.3,11.3%,48.4%,27.4%,1.6%,0.0%,89.0%,0.0%,3.3:1,100%,750,48,3,"1,000",JEFF CO,909
20142015,056,JEFFERSON,275,Jefferson County,060,Coral Ridge Elementary,275060,056275060,210299000654,"$10,076",454.89,472,251,53.2%,221,46.8%,265,56.1%,50,10.6%,123,26.1%,14,3.0%,0,0.0%,0,0.0%,20,4.2%,365,77.3%,33,7.0%,95.9%,0.7%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13:1,37.00,6.00,31.00,35.00,1.00,1.00,0.00,0.00,0.00,0.00,37.00,4,0.0%,7.4,12.1%,57.6%,18.2%,0.0%,0.0%,88.0%,0.0%,3.4:1,100%,382,28,6,"1,175",JEFF CO,909
